,time,lat,lon,eletrico,n_particulas,d_particulas,ldsa
134409,1334295300.0,47.368272999999995,8.536567,8,5442,40.8,12.1
134458,1334295540.0,47.376203000000004,8.539576,8,8100,36.4,15.8
134944,1334297880.0,47.373681,8.538260000000001,8,6023,46.1,15.5
135610,1334301300.0,47.377047999999995,8.539982,8,29151,34.4,53.3
135630,1334301420.0,47.374764,8.538833,8,9300,42.9,21.9
135901,1334302800.0,47.378485999999995,8.545601,8,7814,38.9,16.5
136425,1334305560.0,47.364176,8.531753,8,21263,35.1,39.8
136454,1334305680.0,47.364024,8.531622,8,17267,36.3,33.5
136462,1334305740.0,47.363971,8.531655,8,19297,33.5,34.2
136534,1334306100.0,47.3693,8.538489,8,18849,44.7,46.7
136649,1334306640.0,47.377076,8.546441999999999,8,11276,41.8,25.8
137105,1334308980.0,47.369827,8.538845,8,10032,45.6,25.4
137134,1334309160.0,47.365798999999996,8.532182,8,41383,26.8,56.6
137392,1334310480.0,47.375049,8.552754,8,38462,23.9,46.1
137706,1334312040.0,47.376971999999995,8.546797,8,9651,49.4,26.8
138072,1334313960.0,47.374677,8.549861,8,9402,41.7,21.5
138095,1334314080.0,47.37547,8.553086,8,6554,46.0,16.8
138364,1334315400.0,47.375135,8.552754,8,10831,68.0,43.6
138631,1334324040.0,47.36823,8.536633,8,7305,45.3,18.4
138644,1334324100.0,47.369774,8.538872999999999,8,8844,44.8,22.0
138673,1334324220.0,47.373632,8.538223,8,10453,46.4,27.0
138719,1334324460.0,47.376888,8.543906,8,5892,52.4,17.5
139210,1334326920.0,47.371458000000004,8.538628,8,11623,53.2,35.2
139309,1334327520.0,47.366246999999994,8.532765,8,15662,37.0,31.2
139498,1334328480.0,47.376569,8.552978,8,4100,63.4,15.2
140020,1334331120.0,47.366291,8.53283,8,8847,49.0,24.4
140162,1334331840.0,47.377176,8.546408,8,4029,59.5,13.9
140545,1334333760.0,47.377423,8.544303,8,5250,57.6,17.4
140623,1334334180.0,47.371757,8.538504,8,8062,48.0,21.7
140680,1334334540.0,47.364058,8.53187,8,9172,50.8,26.4
140822,1334335260.0,47.369079,8.538347,8,10598,49.1,29.3
140830,1334335260.0,47.369756,8.538801,8,5406,55.1,17.1
140834,1334335320.0,47.369757,8.538822,8,6119,52.4,18.2
140988,1334336040.0,47.37666,8.552864999999999,8,3775,62.8,13.9
141286,1334337540.0,47.375152,8.549434,8,13427,56.5,43.7
141327,1334337780.0,47.379053000000006,8.54518,8,3870,70.4,16.2
141639,1334339400.0,47.372536,8.538337,8,11066,42.9,26.1
142108,1334341860.0,47.379446,8.544353,8,4342,62.6,15.9
142132,1334341980.0,47.376865,8.543503,8,6738,56.6,21.9
142294,1334342760.0,47.376523999999996,8.539693,8,14063,42.8,33.1
142396,1334343300.0,47.377139,8.55298,8,4768,60.4,16.7
142859,1334345640.0,47.376793,8.536750999999999,8,5273,62.2,19.1
143301,1334347920.0,47.37702,8.554105999999999,8,7174,54.8,22.5
143558,1334349240.0,47.37735,8.547993,8,7376,57.1,24.2
143933,1334351100.0,47.377266999999996,8.547707,8,6568,57.6,21.8
144001,1334351460.0,47.37726,8.539392,8,13096,49.3,36.3
144178,1334352420.0,47.375757,8.553258,8,8192,51.4,23.9
145139,1334357280.0,47.376923,8.543192999999999,8,19393,48.3,52.5
