,time,lat,lon,eletrico,CO
86,0.0,39.86797,-4.0312150600000365,0.0,11.114242715732
87,0.0,39.86797,-4.031179770000037,0.0,11.188734803752695
88,0.0,39.86797,-4.031144480000037,0.0,11.263171304968019
89,0.0,39.86797,-4.031109190000038,0.0,11.337548830099294
90,0.0,39.86797,-4.031073900000038,0.0,11.411863711645847
91,0.0,39.86797,-4.031038610000039,0.0,11.486111975075897
92,0.0,39.86797,-4.031003320000039,0.0,11.560289306408123
93,0.0,39.86797,-4.0309680300000394,0.0,11.634391015652612
94,0.0,39.86797,-4.03093274000004,0.0,11.708411995490078
95,0.0,39.86797,-4.03089745000004,0.0,11.782346674461092
96,0.0,39.86797,-4.030862160000041,0.0,11.856188963809402
97,0.0,39.86797,-4.030826870000041,0.0,11.929932196970197
98,0.0,39.86797,-4.030791580000042,0.0,12.003569060510339
